pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
GaTe,mp-10009,194,-3.44979083,4.8047225174667245,-0.36409261375,272.7837447823904,0.8979999999999997,4.134599450518032,18.42557,2.0,1.0,-1
Mg(InSe2)2,mp-1006591,2,-3.7384624260714285,4.7215878602033605,-0.7259919374107139,801.546969299149,0.7989999999999999,7.16965,13.693734212820619,2.0,1.0,-1
MoSe2,mp-1018807,194,-6.616389411666668,6.155754951852687,-0.6705674165625007,136.95946337831543,1.3035999999999994,3.3287360532676664,14.272587,2.0,1.0,-1
TaSe2,mp-1019276,194,-7.093129978333334,7.620670727377046,-0.8099297832291666,147.67816988455485,0.0,3.4757018025597364,14.115642,2.0,1.0,-1
Te2W,mp-1019322,194,-6.496575101666667,8.823015834196518,-0.08166565833333313,165.2593819393174,1.1671000000000005,3.552879708497883,15.117308,2.0,1.0,-1
Te2W,mp-1023926,187,-6.492265323333334,3.8042057269551055,-0.07735588000000011,191.64133701664744,1.4108,3.5543496588369017,17.516133,2.0,1.0,-1
Te2Mo,mp-1023935,187,-5.982700456666668,3.0081206763588058,-0.2719521600000003,193.8358698267777,1.2682,3.5587106367870085,17.673323,2.0,1.0,-1
WSe2,mp-1023936,187,-7.206082103333332,3.380545359692427,-0.5560989615624999,167.87404723741068,1.5378,3.3256124545504395,17.527085,2.0,1.0,-1
CdIBr,mp-1025115,160,-2.076793025,4.854189250576384,-0.7155167200000001,218.3995610354111,2.2325,14.369878495543134,14.369879295441036,2.0,1.0,-1
SrCu,mp-1025402,194,-2.99994808625,4.000956388487638,-0.105604124583333,250.9570454343693,0.0,4.343767622286556,15.358032,2.0,1.0,-1
Mn(SbS2)2,mp-10412,12,-5.195149134285714,4.112836594908207,-0.722053646022167,344.5709392018729,0.6915000000000004,6.621774949469741,15.5027889181854,2.0,1.0,-1
TaS2,mp-1072086,194,-7.756305505,4.7490320730269815,-1.4883863837500009,171.38709018661737,0.0,3.344623696798341,17.691022,2.0,1.0,-1
NbSe2,mp-1072113,194,-6.5369170883333325,5.6985080084390844,-0.8392077565625004,146.18107136360598,0.0,3.488132066031474,13.873137,2.0,1.0,-1
Mn(BiTe2)2,mp-1077840,166,-4.3966993542857145,7.266322804041264,-0.1802738099507388,224.7087268621001,0.5230999999999995,13.871339367994715,13.871339741686814,2.0,1.0,-1
Mn(InSe2)2,mp-1078140,160,-4.533608338571429,4.837884419632603,-0.4409340755757393,206.0840837395501,0.0,13.632198205049471,13.632198872089267,2.0,1.0,-1
Bi2S2O,mp-1078366,129,-4.862854823999999,7.341941760049852,-1.0685120595000002,225.3077626660419,1.1660999999999992,3.978733,14.232676,2.0,1.0,-1
Mn2Ga2S5,mp-1078896,164,-5.606851468888888,3.6859296892190048,-0.9685677711039276,184.5490971934785,0.0,3.7279549802197183,15.333456,2.0,1.0,-1
Sr(InP)2,mp-1078973,194,-4.19145749,4.674834221628704,-0.5875734027619046,269.39234032346513,0.1833,4.152665783985632,18.038509,2.0,1.0,-1
PbSe,mp-1079172,62,-4.1123395375,7.307260615203588,-0.5080602636718745,260.1138151879188,1.6543,4.415184,13.219818,2.0,1.0,-1
InSe,mp-1079260,187,-3.6337331625,4.828159571413542,-0.509935558671875,266.58268807251403,0.6560999999999999,4.096473523735873,18.343448,2.0,1.0,-1
TaTlS3,mp-10795,62,-6.114656397999999,6.539340927594236,-1.1869763558750002,489.0970159433645,0.6057000000000001,3.523493,14.724654,1.0,1.0,-1
KTl,mp-1079544,194,-1.80481718375,4.770764090083162,-0.06879122025000006,338.99031783080824,0.0,5.4181078541200165,13.334028,2.0,1.0,-1
TePb,mp-1079574,62,-3.77823956625,7.470658429131062,-0.35026556625000005,297.6704047021164,1.4257,4.587522,13.934149,2.0,1.0,-1
Ca(InP)2,mp-1079772,194,-4.249122044,4.342682661420563,-0.5820142314285711,253.63903394679008,0.4085000000000001,4.085596064432214,17.545858,2.0,1.0,-1
BiI3,mp-1079786,11,-2.511269655,4.881606473122021,-0.3957516162500001,401.18334578122847,2.2403,4.16043,12.534295,1.0,1.0,-1
GeTe,mp-1080459,62,-3.9225210725,5.78338207567182,-0.03935667999999959,229.97363020139647,0.2008000000000001,4.195972,11.810234,2.0,1.0,-1
InMoS2,mp-1087488,194,-6.02639691375,5.563733853515824,-0.8905702903125006,164.08486637120282,0.0,3.2039315635250385,18.457437,2.0,1.0,-1
Ti3C2,mp-1094034,194,-9.109501352,4.505624960490742,-0.6814938619999993,123.55380045077487,0.0,3.070643385140808,15.130966,2.0,1.0,-1
PAuS,mp-1094079,61,-4.320675910416667,6.437955764502242,-0.26729015431547626,536.5044749519433,0.5509999999999997,5.6582620000000015,16.638463,2.0,1.0,-1
MgSn2,mp-1094241,194,-3.2337291866666664,5.639644111401933,-0.02725459999999973,154.12482724830969,0.0,3.400673935923437,15.389056,2.0,1.0,-1
