pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
CCl4,mp-1004532,15,-3.4756479072500004,1.693441827675247,-0.6272109858579998,2413.343981522352,4.513,12.08710916096256,20.73555927963808,0.0,1.0,1
P,mp-1094075,6,-5.345582629,0.7531643069387214,0.06770323242857118,682.8940427305091,1.3057,5.598318,19.809882,2.0,1.0,-1
HgS4,mp-1106367,57,-3.1550351195,1.4036923204144205,-0.31590715299999983,1556.0910724087769,1.0475,9.689377,13.192519,0.0,1.0,-1
PdSe2,mp-1120759,14,-4.32524793,1.2819232067533572,-0.2680130082291659,684.8255723160453,1.3764999999999996,5.751231,20.19171232234812,2.0,1.0,-1
Nb15IrS32,mp-1173016,12,-7.0315502612500005,4.300715292475536,-1.3754318912500014,1008.4717474103816,0.0,8.952297941410182,13.996935956182165,2.0,1.0,-1
Nb24Ge7Te48,mp-1173636,8,-5.834857291518987,6.668785984162228,-0.446617284113924,2206.9103400952176,0.0,13.355250897257905,15.851472529016256,2.0,1.0,-1
CuClO,mp-1181633,33,-4.014954268125,3.2455313938466235,-0.8153798962949997,941.4018852310887,0.0948,6.685727,12.831709,2.0,1.0,-1
B4H5,mp-1183667,14,-4.9263872679861125,0.98126689237535,-0.1579150024046293,1307.3217205714175,2.8479,5.8718949999999985,16.546381987175597,0.0,1.0,-1
TlBr3,mp-1188193,62,-2.211278654375,2.8647638316820765,-0.393170504375,1029.6661620590937,1.9392,6.816239,13.827353,0.0,1.0,-1
KNb2Cl11,mp-1192824,2,-4.323612387857144,2.391408322667832,-1.816085975632857,853.9366521156917,2.1275,7.050938,17.66363712975182,2.0,1.0,-1
YTl2P2S7,mp-1194527,15,-4.997130864374999,4.108003526392543,-1.1365243756820431,1267.7565801543733,2.1307000000000005,12.030012531512758,18.92261415085709,2.0,1.0,-1
B10H11C2,mp-1194548,15,-5.4756278342391305,0.9789987249992141,-0.21977642626028912,971.6879369354398,6.0369,7.451613892231736,20.525677615028965,0.0,1.0,1
