pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
Hf2S,mp-10000,194,-9.04516013,11.035293578624938,-1.2493709410416671,117.08332298775065,0.0,3.386678708029594,11.787358,2.0,1.0,-1
Tl3Bi,mp-1006059,194,-2.78039636625,10.517436213013116,-0.03664805375000002,259.6030921103102,0.0,5.389167,7.45811023883356,1.0,1.0,-1
Hf2Tl,mp-1009238,139,-7.39523525,13.735758015746038,0.03010830999999925,67.86416076469197,0.0,5.968394181116726,5.968394181116726,2.0,1.0,-1
Hf2Zn,mp-1014231,139,-7.23574785,11.755995457951894,-0.17770741333333362,59.66261541277445,0.0,6.0838171717085645,6.0838171717085645,2.0,1.0,-1
TiMo3,mp-1017983,71,-10.25536149,8.788249859161299,-0.14725621333333372,63.42803022022309,0.0,5.2555336932167975,5.2555336932167975,2.0,1.0,-1
Ti2Re,mp-1018125,164,-9.729218153333333,9.8674381020313,-0.3173810805555561,47.4463624838845,0.0,2.839605,4.3924533513863295,2.0,1.0,-1
Hf2Hg,mp-1018154,139,-6.858210346666668,14.046197038518438,-0.11885765833333295,65.91583222314105,0.0,6.261688056209363,6.261688056209363,2.0,1.0,-1
Re2N,mp-1018948,194,-11.03801546,18.259046829748964,-0.09083994079333264,70.28479355751129,0.0,2.867253304492821,9.87185,2.0,1.0,-1
Tc2N,mp-1019316,194,-9.791533278333334,10.179621045174732,-0.2336292757933336,68.51420658002704,0.0,2.8493665709881912,9.744362,2.0,1.0,-1
Bi,mp-1067758,11,-3.804174895,9.895899999797473,0.08585941499999983,140.26823971980178,0.0,4.577571,6.812139182934241,2.0,1.0,-1
HgO,mp-1077107,154,-2.91844192,9.970012724699668,-0.643769003125,108.22107354600836,1.2835,3.747305833936296,8.899035000000003,1.0,1.0,-1
BPt2,mp-1077788,194,-6.4494582366666675,16.98531080327785,-0.17572250638888912,78.40201478770777,0.0,2.951696242271552,10.390903,2.0,1.0,-1
Bi2Pt,mp-1078313,157,-4.8379187733333335,12.610850871702885,-0.2209266633333332,242.16879186008208,0.0,6.321219,6.651098146306442,2.0,1.0,-1
H3W,mp-1079923,11,-5.576807035,8.990844851208387,0.0925270785350003,69.02458631624727,0.0,3.053199,7.509332873784461,2.0,1.0,-1
Sn4Ir,mp-1080586,68,-5.172695927,9.312326615919162,-0.19735235900000064,237.89419203906743,0.0,6.426266,6.585008325296787,2.0,1.0,-1
Tc3B,mp-1087495,63,-9.70595840625,10.303610336146633,-0.265645531041665,98.24722731482952,0.0,4.862425275808358,7.261352,2.0,1.0,-1
Bi2Pt,mp-1092293,12,-4.81467057,12.204140709007412,-0.19767846,83.4130697317057,0.0,3.95725561640918,5.9270493502188755,2.0,1.0,-1
Te2Ir,mp-1103512,2,-5.310502908,9.881906119996898,-0.2688254813333335,375.9160421781083,0.0,4.030139,14.460901985218243,2.0,1.0,-1
Ni8Bi8SI,mp-1105564,75,-4.756033010555557,9.352676617052447,-0.18056798822916734,408.4218441177902,0.0,4.210371,9.849049,1.0,1.0,-1
Hf2Pd,mp-11454,139,-8.891472353333333,13.114808879079312,-0.5267191833333329,58.67365743239561,0.0,5.878775265124786,5.878775265124786,2.0,1.0,-1
TePt,mp-11693,166,-4.952367165,11.163522065945369,-0.3452628449999997,95.99647584364378,0.0,7.247262554454751,7.247262719023576,2.0,1.0,-1
HgPtO2,mp-1178176,12,-4.4002051,10.439883698180164,-0.6837253468749998,68.02445435728386,0.0,3.2041493915175057,7.679500251358353,2.0,1.0,-1
GaHg3,mp-1184013,139,-0.91819934,10.8876910444002,0.066584809375,102.41293171355423,0.0,5.932285133928156,5.932285133928156,2.0,1.0,-1
Hg,mp-1184554,194,-0.303680365,10.466899494409137,0.0,63.64588320489973,0.307,3.579844133727054,5.73471,0.0,1.0,-1
Hg,mp-1184657,223,-0.29859498125,10.634970792149756,0.0050853837500000046,250.56018516960202,0.5669,6.304307,6.304307,1.0,1.0,-1
Hg,mp-1184687,69,-0.28448253,10.099456407188212,0.019197835,65.96147712112928,0.0,3.4936926862540445,6.72707178987745,2.0,1.0,-1
Hg,mp-1184709,194,-0.2971122775,10.384381870106305,0.006568087499999986,128.30326755535006,0.3035,3.592682104166329,11.478087,0.0,1.0,-1
InPb,mp-1184798,8,-3.189617115,8.895180103503987,0.04254828500000008,60.11384400612199,0.0,3.4336591824683182,5.954195523563279,2.0,1.0,-1
MgHg2,mp-1185877,12,-0.8422053799999999,10.074451538370873,-0.10632511999999987,140.26261619529393,0.0,6.859667854231793,6.888265131349257,2.0,1.0,-1
MgHg2,mp-1185878,12,-0.8595278766666666,10.160804865754224,-0.12364761666666653,139.07057050836409,0.0,6.154381006732846,7.106270054509609,2.0,1.0,-1
MgPb5,mp-1185962,8,-3.335423828333333,9.594732477698123,0.02516207166666658,183.5046343505471,0.0,6.775794691614113,8.106105799901824,2.0,1.0,-1
MgPb3,mp-1185974,194,-3.15153960375,9.067442678185044,0.03301571125000047,236.57177086824586,0.0,6.139337,6.6704543301500845,2.0,1.0,-1
TlSn,mp-1187560,8,-3.132188595,9.052567736303152,0.05342382249999966,59.26595220659579,0.0,3.4473254550548322,5.794370806782478,2.0,1.0,-1
Tl3As,mp-1187593,194,-2.88237967375,9.89695004049939,0.05363966250000018,230.89327554217067,0.0,5.5488370000000025,6.9316930514768895,1.0,1.0,-1
B3Pd16,mp-1196893,15,-5.624793301315791,10.536283219817646,-0.2081467606578946,546.9270866995652,0.0,9.104121101583171,9.15363108972068,0.0,1.0,-1
ZrPt8,mp-1205768,139,-6.828575354444442,18.86269815171574,-0.4824684311111109,145.42128702360472,0.0,6.337926470410966,6.337926470410966,1.0,1.0,-1
Hf2Se,mp-1206927,194,-8.612153085000001,11.44707568155242,-0.8087233591145839,126.476913550978,0.0,3.4498493597944244,12.27101,2.0,1.0,-1
BPd6,mp-1214755,15,-5.593454304285713,10.621185958247539,-0.19935678559523806,203.03561144547558,0.0,4.988260450622541,9.562230983157852,0.0,1.0,-1
VW,mp-1216231,65,-11.08955321,13.073760446546535,-0.06853693999999955,29.82033015358877,0.0,2.720758089568604,4.294738,2.0,1.0,-1
VReMo,mp-1216241,42,-10.91594876,12.419836162835107,-0.12458999833333212,44.53411942262971,0.0,2.7050227825667204,6.863671399095385,2.0,1.0,-1
VRe11B4,mp-1216295,38,-11.038446950625,17.738492995365984,-0.24524243885416475,200.5605933325285,0.0,4.897402983555264,14.633306,2.0,1.0,-1
Tl4Sn,mp-1216560,166,-2.6699512160000003,10.130865837045773,0.021285538999999788,153.45859223143646,0.0,15.170864961952994,15.170865196267252,2.0,1.0,-1
TiW,mp-1216621,65,-10.446852145,11.855525692968547,-0.020042901666666783,32.45394050580856,0.0,2.7889444159812498,4.454217,2.0,1.0,-1
TePtSe,mp-1217257,156,-4.610358066666667,9.281053261643118,-0.3736513607812497,71.86097677317007,0.0,3.9585026123392923,5.295423,2.0,1.0,-1
Ta10SeS3,mp-1217794,99,-10.064551565714286,13.387979545492378,-0.6007903244084828,246.1582755333981,0.0,3.3328330000000004,22.160897,2.0,1.0,-1
TaW,mp-1217811,65,-12.475488645,17.659810867661008,-0.06753659500000175,34.300736870939204,0.0,2.8276928220681965,4.5552160000000015,2.0,1.0,-1
TaRe,mp-1217894,65,-12.351038725,18.529271914578253,-0.19988631750000074,32.903344747893826,0.0,2.803382064116484,4.467671,2.0,1.0,-1
TaMo,mp-1217895,65,-11.458886395,13.523283453942346,-0.10717606500000088,33.99937177786622,0.0,2.8462954773364624,4.477023,2.0,1.0,-1
TaMoW,mp-1217897,42,-11.973266696666668,15.259852931029325,-0.08608432000000002,50.135256694127996,0.0,2.80913459974936,7.154342508041951,2.0,1.0,-1
TaNbW,mp-1217901,42,-11.681916996666667,14.463678795969301,-0.04284728333333495,52.5467420847577,0.0,2.84192200820026,7.2992005851140975,1.0,1.0,-1
TaNbMo,mp-1217902,42,-11.013814166666668,11.755438096378402,-0.07890560000000117,52.23606387954318,0.0,2.857632454071902,7.2280267522284385,1.0,1.0,-1
Ta4SeS,mp-1217968,99,-9.680875746666667,12.496807830746643,-0.6142071025781265,110.92796365903921,0.0,3.362882,9.808843,2.0,1.0,-1
Ta2H,mp-1217971,12,-9.122388166666667,15.549095935497306,-0.13729085954000078,38.75567902877004,0.0,2.932497332534166,4.907778498106959,2.0,1.0,-1
Ta2VC2,mp-1217976,166,-10.770633788,12.043969185860634,-0.5200292420000011,60.23104678515414,0.0,7.447316455417348,7.44731655608307,2.0,1.0,-1
Ta4C3,mp-1218000,160,-11.282649011428573,14.454783374784435,-0.5524414942857143,87.28714723850014,0.0,10.412864027179458,10.412864043379466,2.0,1.0,-1
Ta3Cr5N4,mp-1218060,99,-10.419716876666667,10.962423494969833,-0.7823452941266673,130.09491367584292,0.0,2.98721,14.579036,2.0,1.0,-1
Ta6TeSe2,mp-1218083,12,-9.403969022777778,11.892813744200796,-0.3726590599652787,382.9107738203018,0.0,7.641860637718017,10.974442070117867,2.0,1.0,-1
Si3Au10,mp-1219349,217,-3.721585782692308,14.600694486627473,0.04878017576923045,467.18572727829553,0.0,8.466498174255692,8.466498174255692,0.0,1.0,-1
ReW2,mp-1219490,69,-12.722250266666668,19.292409609129955,0.06467644166666513,47.67424187109372,0.0,2.7433461901825296,7.09758137114475,1.0,1.0,-1
NiBi6Rh,mp-1220131,26,-4.648662234375,10.702236089981476,-0.08808093312500098,439.24689699044427,0.0,4.219117,11.576621,1.0,1.0,-1
NbW,mp-1220316,65,-11.57123432,13.431388320259295,-0.041518565000000514,34.21449552143223,0.0,2.8105301078170286,4.593246,2.0,1.0,-1
NbRe,mp-1220322,65,-11.41300538,14.037573111624944,-0.1400892675000005,33.01700855377557,0.0,2.7809629991146947,4.535669,2.0,1.0,-1
NbTc,mp-1220323,65,-10.360501955,9.672650761457401,-0.12953948000000004,32.773591218279506,0.0,2.816928975357739,4.4192550000000015,2.0,1.0,-1
NbMo,mp-1220327,65,-10.54777713,9.231307464958839,-0.0743030950000012,33.96992167862834,0.0,2.8233766062969714,4.53131,2.0,1.0,-1
NbMoW,mp-1220335,42,-11.35941213,12.3202762891915,-0.05772061666666654,50.23104020180579,0.0,2.801811412112528,7.185357313899982,2.0,1.0,-1
NbReMo,mp-1220357,42,-11.191571603333335,12.686511967537625,-0.06107985166666907,49.09078170138322,0.0,2.773044615190495,7.149460454622923,2.0,1.0,-1
Nb2Tc,mp-1220634,69,-10.305733433333334,9.224802959508164,-0.1179901033333337,51.08858992958882,0.0,2.8474816452525205,7.142706222308531,1.0,1.0,-1
Nb2Pd,mp-1220678,69,-8.69291335,9.433924184220338,-0.2320827199999999,51.43818256797302,0.0,2.824062133127563,6.875164574815064,2.0,1.0,-1
MoW,mp-1221387,65,-11.90766013,14.423725877321232,-0.00577537999999933,32.2098204031891,0.0,2.7566814830054267,4.500382,2.0,1.0,-1
Mo2C,mp-1221498,164,-10.352794533333332,8.897585334040542,-0.046772279999999,38.05172526653037,0.0,3.073101653225451,4.6525370000000015,2.0,1.0,-1
Mo2N,mp-1221525,166,-10.228113316666667,9.34060625269432,-0.3468605674599997,36.601790011728326,0.0,5.275433419937362,5.275433458830942,2.0,1.0,-1
HgPb2,mp-1223969,12,-2.543324146666667,11.052462588233432,0.033000688333333215,92.39704838770771,0.0,3.5087683508972205,8.567379491787321,1.0,1.0,-1
HgO,mp-1224,62,-2.92037400375,9.849066490124043,-0.6457010868749999,146.06670001551564,1.2481999999999998,3.738852,6.7396910000000005,1.0,1.0,-1
HfZrNb2,mp-1224216,35,-9.591756605,9.211271820085342,0.08511828500000007,82.11895117592066,0.0,3.017306813947166,9.746123,2.0,1.0,-1
Hf4AgPd,mp-1224331,123,-8.294947353333333,12.751248114018832,-0.32141515111111235,120.88168827226488,0.0,3.24401,11.486723,2.0,1.0,-1
Hf3N2,mp-1224383,160,-10.684670296,13.345825383411414,-1.5293681109520008,70.11077787992289,0.0,8.175183025895139,8.1751837757585,2.0,1.0,-1
Hf3N2,mp-1224388,166,-10.779062004000002,13.387488527463887,-1.6237598189520002,69.89258643703577,0.0,8.00631619630433,8.006316650998011,2.0,1.0,-1
Hf4N3,mp-1224391,160,-10.775620068571428,13.430294825587225,-1.6775955024485705,93.47035980405492,0.0,10.725674825984845,10.725674951051984,2.0,1.0,-1
H3Pd4,mp-1224413,166,-4.4824046371428565,10.29414211662757,-0.1340136051228567,69.15383846904484,0.0,9.599427917932664,9.599428033219533,2.0,1.0,-1
FePd2,mp-1224793,164,-6.3220906066666664,10.754366405558695,-0.04550177333333375,41.486585288633044,0.0,2.7163615688278684,6.492349,2.0,1.0,-1
