pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
CsB3PbF12,mp-1004528,8,-5.614997878235294,3.0684580338604057,-3.1624786805712377,324.9794296634078,6.3125,6.865335959528927,6.8918475306379925,2.0,1.0,1
SnPOF7,mp-1008228,61,-5.1437947123750005,2.8188913325406224,-2.7825573001901427,1407.5221487822253,4.4455,10.057369,12.486726,0.0,1.0,1
Sn4SF6,mp-1013750,36,-4.762094389545454,4.248491913317467,-2.213496381387728,485.3586264917723,2.4505000000000003,7.6381223589115805,8.895499000000003,2.0,1.0,-1
Re2O7,mp-1016092,19,-8.10618098486111,5.837607744971918,-2.038546245833334,1102.3438809662773,2.6752,5.558364,15.566044,2.0,1.0,-1
B2S2O9,mp-1019509,5,-6.702810155384616,2.568795527668781,-2.2015984250641023,148.51443044388324,6.6984,4.476392519422308,8.865185855563155,2.0,1.0,1
TcF6,mp-1025373,229,-5.024222698571426,2.735866659953804,-2.3265197395914283,128.66795665855102,0.0,5.508467164073414,5.508467164073414,0.0,1.0,-1
ReF6,mp-1025374,229,-5.4982779342857135,3.7252477301955085,-2.50287393602,133.81379665935268,0.0,5.580943098065326,5.580943098065326,0.0,1.0,-1
NbCl2O,mp-1025567,5,-6.4432430075,3.2562050475209245,-2.2295748919425,183.3941542177809,0.9322,6.768331418061619,7.324903109339397,2.0,1.0,-1
Zn(ReO4)2,mp-10326,147,-7.577874976363637,4.777768993269658,-2.1129548190909087,196.65312973834327,4.0065,5.811486424579687,6.723506,2.0,1.0,1
Tl2SnF6,mp-10401,164,-4.487843493333333,6.4804735364534585,-2.5704903135711112,164.36777950334618,4.4844,4.96526,6.182612819483037,0.0,1.0,1
TiTl2F6,mp-10402,164,-5.426557578888889,6.057885964760943,-3.0774354922748146,156.41487504614997,3.9155,4.951724,6.0394234732613326,0.0,1.0,1
TiNF,mp-1071956,59,-8.236234923333333,2.8110962917939206,-2.480063477301112,95.54371164995415,0.6581,3.062004,7.870825999999999,2.0,1.0,-1
SrBiS2F,mp-1078631,129,-4.928112103,5.3543343461732364,-2.1389030168213337,235.530496102666,1.1263,4.065045,14.253333,2.0,1.0,-1
ZrTi(PbO3)2,mp-1079416,99,-7.710931774,7.588402081948216,-2.776683814083333,142.1246778066841,1.8868,4.02758,8.761553999999999,2.0,1.0,-1
TiZn(BiO3)2,mp-1084840,8,-6.460906937000001,7.132423554995407,-2.219977231083333,146.0296383743298,1.4626,3.8298792504667816,9.962274928369975,2.0,1.0,-1
GeF2,mp-1095292,62,-4.881769906666666,3.572856078532266,-2.393727199126667,205.680537019036,4.1965,4.457753,8.660853,1.0,1.0,1
Zr(MoO4)2,mp-1095622,12,-7.717952478181817,3.705202546779263,-2.5231969836363635,184.23993647564427,3.181,5.908220451582693,6.033989772711999,2.0,1.0,1
ZrCl3,mp-1100795,2,-5.2408074975,2.8124521466647248,-2.163494107445,233.3154651431944,0.3714,6.278204,7.57210990814938,2.0,1.0,-1
W5(O2F11)2,mp-1101179,88,-5.6516309308064505,4.259065956059004,-2.707424570521935,1092.5799434699961,3.5499000000000005,12.706256247864196,12.706256247864196,0.0,1.0,1
V3OF11,mp-1101185,1,-5.700244928666668,2.921493947197951,-2.895082585289333,429.48038951803215,1.9631,5.295,15.04101051689274,2.0,1.0,-1
VF5,mp-1101189,14,-5.187639975833333,2.6604999597795693,-2.7701971859916656,364.33498681860345,2.7560000000000002,5.175341,10.197276625977349,1.0,1.0,-1
VF4,mp-1101190,14,-5.598663854,2.9169153931326735,-2.981842532952,289.0460439461784,2.7841,4.934713,10.39217927610268,1.0,1.0,-1
VF4,mp-1101193,14,-5.585169458499999,2.8568411513978718,-2.9683481374519998,295.1241634482075,1.9378,4.960531,10.893223815849602,1.0,1.0,-1
VF5,mp-1101210,62,-5.208745283333333,2.253526664789676,-2.791302493491667,430.13168333983367,3.2848,5.127603,10.176591,0.0,1.0,1
VOF2,mp-1101214,71,-6.4187986975,3.286204511006298,-2.7966307459074997,106.05131874963024,1.4003,3.102882844118675,9.40799965826748,2.0,1.0,-1
V2OF8,mp-1101223,13,-5.536137167045454,2.522402677068428,-2.7712391052972722,710.6384088020986,2.5347,5.382347,14.970652855339909,1.0,1.0,-1
V2F9,mp-1101229,193,-5.3568322886363635,2.6708278479723377,-2.8487628937009086,339.30230173087995,0.05900000000000016,5.203557637944448,14.469563,0.0,1.0,-1
TaOF3,mp-1101316,71,-7.543831195999999,6.06477242959079,-3.4708124959639988,69.52963685711063,2.8024,5.204561116446612,5.204561116446612,2.0,1.0,-1
TiMn2O6,mp-1101349,64,-7.6622483627777775,3.8554853709950714,-2.2921153107848533,218.56876389880543,1.6071,5.102839550558493,9.700142000003812,2.0,1.0,-1
SbOF3,mp-1101381,71,-4.844547146,4.547611078717,-2.3172837239640005,71.11374126840906,1.4817,5.318809158894968,5.318809158894968,2.0,1.0,-1
Sn2P2O7,mp-1101386,15,-6.734336717727272,3.959786967709792,-2.3193027437175333,1035.0327565174648,2.8001,9.444225227717359,11.808649730259635,2.0,1.0,-1
K2TeOF4,mp-11014,63,-4.535941405625,3.197899408524932,-2.6244458021262496,309.2600626297855,4.938899999999999,6.721015,7.838900198483968,2.0,1.0,1
