pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
P2S7,mp-1006118,2,-4.5380389772222225,1.941182983062771,-0.6338722226686515,489.9925293229972,2.0233,6.413214,11.673017323160026,1.0,1.0,-1
Cl2,mp-1008394,64,-1.8485262325,1.6735675643069048,0.0,140.7080127118759,2.2818,4.3892277066268734,8.601525,0.0,1.0,-1
BrCl,mp-1008492,63,-1.794627915,2.5271615889277146,-0.34923915662999994,151.5968000978154,1.8278,4.645947050138755,7.810701,1.0,1.0,-1
O2,mp-1009490,12,-4.946243415,1.1409697618155776,0.0017120537500003865,46.57025914496467,1.6300999999999997,3.3426660501804544,4.625978470218491,0.0,1.0,-1
Ba2Zn,mp-1018178,139,-1.8421880566666669,4.272596092426538,-0.1429596333333336,132.16505477925773,0.0,8.115004408957152,8.115004408957152,2.0,1.0,-1
CaCoSi,mp-1018658,129,-5.378849623333332,3.7979712574730553,-0.5324390583333329,111.13776960158691,0.0,3.949252,7.125773,2.0,1.0,-1
LiBeB,mp-1018783,11,-4.231935205,1.4197151809535502,-0.1226927041666664,62.608289877892894,0.0,3.001252,5.693867750880767,2.0,1.0,-1
PdCl2,mp-1018888,10,-3.40973315,3.3228003236394064,-0.8472052288399997,177.23409283973956,1.0151,3.420218,11.875227667934327,1.0,1.0,-1
PdN2,mp-1019239,71,-6.947546413333334,4.000664197037069,0.08072898174666676,55.79871280403693,0.0,4.745114346908513,4.745114346908513,1.0,1.0,-1
LiC12,mp-1021323,191,-8.670166768461538,2.019463894233663,-0.006298209487177622,124.21942337474468,0.0,4.29791561952768,7.765028999999997,2.0,1.0,-1
H4C,mp-1021328,217,-4.814292834,0.4330682613662343,-0.3771473648959997,61.512546475530854,7.6375,4.307201594433212,4.307201594433212,0.0,1.0,1
MoSe2,mp-1023934,187,-6.617718553333333,2.4809439300963136,-0.6718965582291668,169.9129280324812,1.4311,3.3269484459426177,17.725711999999994,2.0,1.0,-1
Na2ZrN2,mp-1029316,164,-6.2300438300000005,3.1631042321503933,-0.8136539422853339,86.73415758936892,0.0,3.3572860313762365,8.88552,2.0,1.0,-1
Cs2CN2,mp-1029699,2,-5.971697360666669,3.4693313896025906,-0.5871913967910795,439.1488572688642,2.2801,5.8669400000000005,12.985055966703491,1.0,1.0,-1
Ca2Mg,mp-1039317,63,-1.9009197366666664,1.6596493535433332,-0.03042646666666648,209.03399994193242,0.0,5.916778,9.632756023010495,2.0,1.0,-1
Ca2Mg,mp-1039397,12,-1.88837373,1.6381250861982382,-0.017880459999999758,211.78061785095105,0.0,7.243748170327567,8.331317349852062,2.0,1.0,-1
Ca2Mg,mp-1039421,63,-1.8346391766666663,1.617372320756599,0.035854093333333566,214.49800915964488,0.0,6.010665,9.635474876578217,2.0,1.0,-1
Ca2Mg,mp-1039467,12,-1.9101002916666667,1.6497980777513097,-0.03960702166666656,210.28218395372642,0.0,7.312163607449713,8.139580288592896,2.0,1.0,-1
C,mp-1040425,191,-9.219185055,0.37811414066880783,0.007595645000000317,105.4932065324787,0.00010000000000021103,2.4680302794645765,19.998293,2.0,1.0,-1
Si3H,mp-1040468,166,-4.8691053225,1.9414625580933305,0.0098143578449994,145.8538904307475,0.9481000000000002,11.429072575975225,11.42907292216254,2.0,1.0,-1
