pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
CoS,mp-1147746,129,-6.0429653625,4.420718991746983,-0.7523115315625013,68.36266139950712,0.0,3.633014,5.179464,2.0,1.0,-1
NbTe2,mp-11675,12,-5.923721804444442,7.094396080281276,-0.4610861711111112,244.436976783422,0.0,7.698284051644562,9.54795852701576,2.0,1.0,-1
VTe2,mp-11687,12,-5.449961185555555,6.6465735136382476,-0.3264585422222221,229.45353103267828,0.0,7.6256195768611486,9.366105822696325,2.0,1.0,-1
AgClO3,mp-1178561,160,-3.847584518,4.1342602849418615,-0.482903840735333,76.84405818753126,2.8464,4.324920984832439,4.324921442343316,2.0,1.0,-1
AgBrO3,mp-1178562,160,-3.737589242,4.572963514409799,-0.2962934520833329,85.61318250500794,2.5145,4.464877382137273,4.464877802851609,2.0,1.0,-1
Hg2ClO,mp-1181119,15,-2.24432777125,6.958708225805693,-0.7176084773774999,432.0421311654546,2.1229,7.2732937730066975,9.74592432531589,1.0,1.0,-1
Au(OF3)2,mp-1182345,2,-3.3568548444444444,4.393264784661674,-0.9789511466266668,129.62830886291593,0.1948000000000003,5.063586,5.235626863858043,0.0,1.0,-1
Mg2Ag,mp-1185754,63,-2.1731395033333336,4.351268737924871,-0.16210080222222226,119.43098890056856,0.0,4.836937,5.625502111621504,2.0,1.0,-1
Mg2Pd,mp-1185771,139,-3.3185663966666668,4.744328789210988,-0.5250857600000002,54.26128393133789,0.0,5.557179366170575,5.557179366170575,2.0,1.0,-1
MgIn2,mp-1185905,12,-2.3903630833333334,5.561180374588454,-0.022480579999999858,151.6508808231836,0.0,6.051497009148233,8.172401257797429,2.0,1.0,-1
MgIn2,mp-1185920,12,-2.3904235666666667,5.513575531642667,-0.02254106333333332,152.96025190602194,0.0,6.574929344577018,7.66146876158038,2.0,1.0,-1
MgPb2,mp-1185928,12,-3.00375158,8.432203073413076,0.004773150000000115,172.78682329406604,0.0,6.769134292305701,7.9028125755758625,2.0,1.0,-1
MgPb2,mp-1185936,12,-3.0024711366666668,8.399739986683537,0.006053593333333514,173.45460511102814,0.0,6.841505382585107,7.7786692356323375,2.0,1.0,-1
Tl2S,mp-1187792,143,-3.2960316788888893,7.607769722849853,-0.563933069930556,288.65940489491015,1.0166,6.264771,7.29415429175021,2.0,1.0,-1
Bi2O3,mp-1188267,227,-5.682613111,8.137834278246185,-1.5792001057499996,380.3189381736202,2.5954,8.132442161494295,8.132442161494295,0.0,1.0,-1
Te6IrBr3,mp-1188957,167,-3.5607785375,5.694609583427416,-0.2998769754999998,698.395090568996,1.2675,9.58017710960554,9.580177179485773,1.0,1.0,-1
TeO2,mp-1190021,2,-5.359120312777779,5.54419704456597,-1.4809096902777776,286.8080339701136,2.5813,5.874484,7.8374896323252,2.0,1.0,-1
CuPb3(ClO2)2,mp-1190173,11,-4.797877837,6.884884003194151,-1.3251266661519998,395.56930711336577,0.0,5.566743,10.392229564983491,2.0,1.0,-1
BiIO4,mp-1191266,29,-4.978637793333333,7.072493721918131,-1.2458529933333338,375.55096665588167,2.3945,5.737024,11.266582,2.0,1.0,-1
TlAgTeO3,mp-1191720,45,-4.60903984875,7.0920197906977585,-1.096622128819444,456.9042441430568,2.3702999999999994,9.878708527883642,9.878708527883642,2.0,1.0,-1
HgNO4,mp-1192100,14,-4.865498952916666,4.864673094013403,-0.6590298816466665,380.3887413946797,0.0,7.0301490000000015,8.412400985993237,1.0,1.0,-1
CuIO4,mp-1192231,62,-4.595469483333333,4.55842585268151,-0.8278226233333328,370.7604109935643,0.9538,5.46877,10.522794,1.0,1.0,-1
Cu3(I3O10)2,mp-1193512,2,-4.372858544137931,4.784459099472794,-0.7054445760344829,441.4905339292072,0.014699999999999937,7.262399,8.173698338023554,2.0,1.0,-1
Sb2Te3,mp-1201,166,-3.667575852,6.121655030547824,-0.12999479799999988,169.89340676713044,0.16110000000000024,10.744895720462997,10.74489620571032,2.0,1.0,-1
LiBiO2,mp-1205315,129,-5.37939376875,7.094956996522392,-1.806821740208333,116.04895637875515,0.7824000000000004,3.492407,9.514622,2.0,1.0,-1
Te6RhBr3,mp-1205332,167,-3.4410551545,5.340963635622522,-0.3275658474999997,689.1035320914682,1.2836,9.523140888273467,9.523141054551802,1.0,1.0,-1
Nb(SeI)2,mp-1205627,12,-4.599572643,4.981197939451934,-0.5713419979374997,336.4518629582471,1.0028,7.104404772266286,8.122438978212209,2.0,1.0,-1
TlNiCl3,mp-1205652,194,-3.518889324,4.920668243174458,-1.138220805956,249.34109845656087,0.5729000000000002,5.903388,6.983625544012077,1.0,1.0,-1
CsTlO,mp-1205877,12,-3.67039303,6.514735041853712,-1.1694860897270114,180.09904446702993,1.5098999999999996,6.7150323004319965,7.4489927418370465,2.0,1.0,-1
ZrHBr,mp-1206023,164,-5.357787591666667,5.419104206522699,-0.8829996478733335,105.49287935517624,0.0,3.4509752345631224,10.228425,2.0,1.0,-1
