pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
SnS2,mp-1002063,122,-4.40360743,3.391010521111248,-0.7517569004166665,179.06931343736954,1.8791,6.543681291672296,6.543681291672296,3.0,-1.0
NaLiICl,mp-1002069,123,-3.10739485,3.068616865164844,-1.6070351812316666,104.05408931851649,4.1933,4.091636,6.215344,3.0,-1.0
KNaICl,mp-1002081,123,-3.0235823775,2.6866134979370737,-1.7228536886483332,138.72504794036223,4.4984,4.5104,6.819064,3.0,-1.0
CsKICl,mp-1002083,123,-3.03090549,2.9679997426572577,-1.8349892622977584,187.06870601813858,4.1193,4.9911129999999995,7.509419,3.0,-1.0
P2S7,mp-1006118,2,-4.538038977222223,1.941182983062771,-0.6338722226686515,489.9925293229972,2.0233,6.413214,11.673017323160026,1.0,1.0
KNaH2,mp-1007637,123,-2.435971775,1.393336406511905,-0.20984065339333347,76.39728037342103,2.8834,3.783233,5.33767,3.0,-1.0
Cl2,mp-1008394,64,-1.8485262325,1.6735675643069048,0.0,140.7080127118759,2.2818,4.3892277066268734,8.601525,0.0,1.0
BrCl,mp-1008492,63,-1.794627915,2.5271615889277146,-0.34923915662999994,151.5968000978154,1.8278,4.645947050138755,7.810701,1.0,1.0
AlGaN2,mp-1008556,115,-6.78624148,4.630279982767957,-1.116587553065,44.72710292290304,2.6691000000000003,3.164181,4.467331,3.0,-1.0
Cs2Se,mp-1011695,225,-2.81031345,3.7203142464967818,-1.0480747094019396,153.88634315662654,1.8398,6.015037775288862,6.015037775288862,3.0,-1.0
TiZnN2,mp-1016108,33,-7.30544844625,4.766285613075758,-1.040403445773333,196.896776603425,2.3663000000000003,5.2480980000000015,6.581898,3.0,-1.0
NaAlTe2,mp-10163,140,-3.5091162675,4.2691309588580015,-0.6724087908333334,237.40142133082387,1.7389,6.807812305440493,6.807812305440493,3.0,-1.0
KAlTe2,mp-10165,140,-3.57077660125,3.9684840711126808,-0.7851324419999997,268.86726203069315,2.1455,7.115056663556306,7.115056663556306,3.0,-1.0
NaAlSe2,mp-10166,140,-4.030078705,3.6431913171265298,-1.0170659545052088,189.5105737206164,2.2061,6.314914441566647,6.314914441566647,3.0,-1.0
