pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
GaTe,mp-10009,194,-3.44979083,4.8047225174667245,-0.36409261375,272.7837447823904,0.8979999999999997,4.1345994505180315,18.42557,2.0,1.0
Ba5As3,mp-10045,193,-3.944894068125,4.8938834967592015,-0.9983678975,618.4924402853608,0.0,7.804907000000001,9.565727607091107,3.0,-1.0
Mg(InSe2)2,mp-1006591,2,-3.738462426071429,4.7215878602033605,-0.7259919374107139,801.546969299149,0.7989999999999999,7.16965,13.693734212820619,2.0,1.0
Ba5Sb4,mp-10089,64,-3.9536164377777774,5.136328539177757,-1.0524098699999995,758.8818254619466,0.2709000000000001,9.197422,10.109169174452717,3.0,-1.0
KV(CuSe2)2,mp-10091,40,-4.742808555,4.3572022858497625,-0.6957630215468749,406.23337510414484,0.9137,7.7088649999999985,9.802777110554844,3.0,-1.0
Na3Sr3GaP4,mp-10096,186,-3.844209692272728,3.0588580072681832,-0.7811515687987015,570.4912485252823,0.7466999999999997,7.407446,9.430287157354222,3.0,-1.0
Na3Sr3GaAs4,mp-10097,186,-3.6141364395454563,3.765986194116567,-0.8253210274999997,618.3953999616714,0.4378000000000002,7.601422,9.692155728551466,3.0,-1.0
VS2,mp-1013525,194,-6.636547675,3.0236853435834594,-1.2932524070833342,126.3892895520712,0.0,3.180255578645842,14.429642000000001,2.0,1.0
Cd5(S2Cl)2,mp-1013730,72,-2.9482813950000004,4.08442206256304,-1.0379077385472728,618.9552350146278,1.7229,10.182781728571275,10.182781728571275,3.0,-1.0
Sn5(S2Cl)2,mp-1013760,2,-4.164637786363636,4.452468164643772,-0.8512268140018187,591.2836826871287,1.1683000000000003,7.3165070000000005,10.589937310676444,3.0,-1.0
Sn5(S2Cl)2,mp-1014204,28,-4.2131594331818185,4.147775930179823,-0.8997484608200004,634.7188994183766,0.6238,5.88605,18.036104,3.0,-1.0
MoSeS,mp-1018806,38,-6.9152368750000015,3.8404981799630287,-0.9770554168229176,178.9733788766838,0.8390000000000001,3.2563588438114435,19.490903,2.0,1.0
MoSe2,mp-1018807,194,-6.616389411666668,6.155754951852687,-0.6705674165625007,136.95946337831543,1.3035999999999994,3.3287360532676664,14.272587,2.0,1.0
MoS2,mp-1018809,194,-7.237796761666666,4.306155808586161,-1.3072558404166668,123.45233205945364,1.3361,3.1929179132237326,13.982768,2.0,1.0
PdCl2,mp-1018888,10,-3.40973315,3.3228003236394064,-0.8472052288399997,177.23409283973956,1.0151,3.420218,11.875227667934327,1.0,1.0
Ba3Ga3N5,mp-1019515,15,-5.623803040227274,5.794256170050904,-0.6598430460818179,792.3275535325446,1.4397999999999995,9.480557069576133,11.783284224122324,3.0,-1.0
Ba4Mg(SiN3)2,mp-1019517,70,-6.313499839230769,5.025194034876678,-1.0949133364830763,471.75610038452203,1.6017,6.991501716396557,11.794882097142851,3.0,-1.0
Ba3Ca2(SiN3)2,mp-1019520,15,-6.433688010384616,4.570850511220173,-1.1772592860984616,459.4501120597294,1.8748,6.1316470423860014,13.440969873053806,3.0,-1.0
Ba3MgGeN4,mp-1019521,52,-5.593019498888888,5.429756978596064,-0.7274518160577775,691.0999507956774,1.2902,6.297235,10.702427,3.0,-1.0
Ca16(SiN2)17,mp-1019552,216,-7.271053390149254,3.0764422005871004,-1.3799490498644778,860.8783258172605,0.0,10.677893637691005,10.677893637691005,3.0,-1.0
Mn(NbS2)3,mp-10199,182,-7.379909708,4.766913325738757,-1.3495536288405177,366.49372114693637,0.0,5.838388584437062,12.415092,3.0,-1.0
Na2PdS2,mp-10223,36,-4.0533082810000005,3.4927158045315823,-1.1022750855833336,205.8889288302528,1.1750000000000005,5.523345588033127,10.980503,3.0,-1.0
Te2W,mp-1023926,187,-6.492265323333334,3.8042057269551055,-0.07735588000000011,191.64133701664744,1.4108,3.5543496588369017,17.516133,2.0,1.0
MoSe2,mp-1023934,187,-6.617718553333333,2.4809439300963136,-0.6718965582291668,169.9129280324812,1.4311,3.3269484459426177,17.725711999999994,2.0,1.0
Te2Mo,mp-1023935,187,-5.9827004566666675,3.0081206763588058,-0.2719521600000003,193.8358698267777,1.2682,3.5587106367870085,17.673323,2.0,1.0
WSe2,mp-1023936,187,-7.206082103333332,3.380545359692427,-0.5560989615624999,167.87404723741068,1.5378,3.3256124545504395,17.527085,2.0,1.0
