pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
Li3PS4,mp-1097036,62,-4.382046800625,1.8070852759779537,-1.2530450595089286,661.8199848807707,2.4824,6.2218050000000025,13.423115,3.0,-1.0
CaSnS3,mp-1100335,2,-4.681151784666667,3.1260222491891847,-1.3943235175416668,812.6798833796338,1.8749,8.607266000000001,11.84583590714294,3.0,-1.0
Ca5Sn3S11,mp-1100378,2,-4.795730186578949,2.93188054504358,-1.6241721075986846,1029.932983301411,1.9309000000000005,8.749305,13.915271392837793,3.0,-1.0
BaPS3,mp-11006,14,-5.1215828975,3.2227189959565288,-1.5713376390892857,545.1366331376664,3.1164000000000005,6.85668,12.013754874215346,3.0,-1.0
CaPSe3,mp-11007,14,-4.467223993999999,3.975220831706386,-0.8858999591205354,514.5200654711609,2.1698,6.960278999999999,11.734872604609091,3.0,-1.0
BaPSe3,mp-11008,14,-4.5752857470000015,4.429132317645997,-1.0112875221205355,607.6300603214738,2.1782,7.169792,12.538270180933615,3.0,-1.0
SrCa2I6,mp-1101357,14,-3.234278831111112,3.957015980386268,-1.5848614196296296,779.8692707095253,3.5449,7.4190710000000015,14.679076332838994,3.0,-1.0
Sr2CaI6,mp-1101358,14,-3.2706625883333333,4.280731821682263,-1.6563694687037038,757.7783422423288,3.6613,7.658465,13.870422063912585,3.0,-1.0
SrCa2I6,mp-1101362,15,-3.2452004427777776,4.118057790718037,-1.5957830312962964,749.371505607671,3.5701,8.520999511319138,11.870340151138803,3.0,-1.0
Sr2CaI6,mp-1101374,15,-3.2053479155555555,4.246981489516443,-1.591054795925926,763.8003300522298,3.2623999999999995,8.860653135630859,11.515646396223184,3.0,-1.0
Rb3FeO3,mp-1101417,14,-4.669110170357143,4.0111883671768584,-1.6097385269642843,596.5349897849343,2.2648,6.6702699999999995,14.887622,3.0,-1.0
RbV2Fe(AgO4)2,mp-1103452,147,-6.246645238928571,4.836373169915351,-1.8786606068452367,403.0358463737085,2.0558,5.54175200088176,15.153817009140699,3.0,-1.0
Cs2CdI4,mp-1103539,11,-2.4371203407142863,3.949129235448357,-1.1785853458374385,744.9599544854573,2.8822,8.104296000000001,11.37090290964429,3.0,-1.0
Rb2Cd(IBr)2,mp-1103709,40,-2.597120526428572,3.672214033491801,-1.2820010671428574,630.3201151188647,3.1710000000000003,7.463583222486367,12.010117999999999,3.0,-1.0
KV2Fe(AgO4)2,mp-1103811,147,-6.2559331517857135,4.524063208121492,-1.878672457238096,396.8191731264383,1.9969,5.537296214457468,14.946627077177679,3.0,-1.0
Cs4Au6S5,mp-1104686,157,-3.6049243426666666,5.725533062129543,-0.8989344718232762,543.4304139191684,2.4949,5.547168,10.635820597489458,3.0,-1.0
Ni3Se4(ClO5)2,mp-1105005,12,-4.853491102105264,4.095410275948235,-1.1799957025471053,586.1543041373158,3.1206000000000005,7.487580165732116,11.692071845178551,3.0,-1.0
TlHgCl3,mp-1105094,62,-2.419136579,5.614203030128577,-1.133759323956,604.9565757474827,2.6787,4.491792,14.158435999999998,1.0,1.0
SnBr2,mp-1105170,176,-3.198944881111111,4.584559007304661,-0.7711365694444446,605.2796166624597,2.4179000000000004,4.383655,12.626835354447449,1.0,1.0
RbBi2Br7,mp-1105176,2,-2.990790295,4.544241956609387,-0.9688814477500004,776.6966941627063,2.8629,7.819597999999999,10.70384992005741,3.0,-1.0
CsBi2Br7,mp-1105273,2,-3.004325807,4.698911434972762,-0.9909301297931036,784.6587246032643,2.8654,7.8162850000000015,10.844118507965183,3.0,-1.0
NbAlBr8,mp-1105368,63,-3.674872755,3.25242382743203,-0.9806434359999996,775.1439221651411,1.534,9.181731,10.375283046987633,0.0,1.0
Ba2P7Br,mp-1105535,11,-5.116019698000001,3.5601676377858764,-0.7792327750000005,533.0026559365185,1.9715,6.384208,12.054403954621108,3.0,-1.0
BiI3,mp-1106279,14,-2.57746235375,4.413745831021496,-0.4619443150000002,887.4182123990354,2.3476000000000004,8.031667,13.276311999999999,2.0,1.0
Na3MoCl6,mp-1106352,163,-4.017685028,2.430887726404748,-1.7864144739559995,515.9143225513964,1.7281000000000002,6.952694321520902,12.323688,3.0,-1.0
Cs3W2N5,mp-1119092,80,-7.490709914500001,5.731606778894332,-0.6542278150693107,969.3089602552147,1.9073,11.023984350283067,11.023984350283067,3.0,-1.0
RbGeCl3,mp-1120729,33,-3.5453230069999995,2.6913626247610645,-1.6723000354559996,652.6916130563071,2.5696,7.4374970000000005,10.93008,3.0,-1.0
PdSe2,mp-1120759,14,-4.32524793,1.2819232067533572,-0.2680130082291659,684.8255723160453,1.3764999999999996,5.751231,20.19171232234812,2.0,1.0
CsPbI3,mp-1120768,62,-2.858535925,4.74650734914947,-1.0225184675862071,1008.697799944696,1.6364,8.853381,12.757759,3.0,-1.0
Li6Zn3(PS4)4,mp-1147606,4,-4.284723786379312,2.326646236034426,-1.0966634641133006,1248.7097668582512,2.6809000000000003,9.289602,11.596375371727364,3.0,-1.0
K6ZnS4,mp-1147618,186,-3.2917748127272732,2.1837186059678797,-1.3086751073181822,651.3114520082963,1.9614000000000005,7.695349,9.885869516315747,3.0,-1.0
Li3InBr6,mp-1147621,15,-3.0879489815,3.851715723433905,-1.2579478245,530.3296163756229,2.6242,6.839258942751767,13.278447388234255,3.0,-1.0
K6ZnSe4,mp-1147626,186,-3.0708564963636364,2.788625392735396,-1.079421659761364,733.4254280206203,1.6625,7.981021000000001,10.301096153440419,3.0,-1.0
Li10Zn7(PS4)8,mp-1147627,1,-4.267451759298246,2.403601812684267,-1.0683395388053472,1244.3277666298504,2.6635,9.205077000000001,11.631485383029116,3.0,-1.0
K2Zn3S4,mp-1147666,62,-3.45655366,3.1140046229487104,-1.2463327498333332,858.922102236251,2.4299,6.216585,13.76092,3.0,-1.0
Li10Zn(PS4)4,mp-1147681,7,-4.357818354677419,2.0228894938096733,-1.210400496858679,1267.0269438170965,2.5018,7.908961,17.90837017051284,3.0,-1.0
Li10Zn(PS4)4,mp-1147684,7,-4.357822349677419,2.013463810634496,-1.2104044918586796,1272.9583116836336,2.5761,7.901476,17.949276042113926,3.0,-1.0
Li10Zn(PS4)4,mp-1147685,7,-4.3579775262903215,2.0154390551019747,-1.2105596684715827,1271.7107404131852,2.5073,7.92157,17.921931933103643,3.0,-1.0
Li10Zn(PS4)4,mp-1147686,1,-4.357675946290323,2.018366696204462,-1.2102580884715828,1269.8661238521267,2.4480000000000004,7.910543,12.99232646117415,3.0,-1.0
