pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
BaO,mp-1008500,194,-5.8878450725,5.927027226403602,-2.805526923125,85.913044572136,2.4251000000000005,3.8493514629703527,6.695042,3.0,-1.0
Hf2SN2,mp-1017567,164,-9.896031314,9.657351425283057,-2.037568925577,71.71135601844281,1.0769000000000002,3.590010121381972,6.424894,3.0,-1.0
HfO2,mp-1018721,137,-10.124736591666666,10.362278207557347,-3.975229995833333,67.46100972792661,4.675000000000002,3.593328,5.224673,3.0,-1.0
Ba2NbFeO6,mp-1021504,225,-7.4674579365,6.221341093607607,-2.95243369725,277.26721103196843,1.7475,5.809213136492412,10.061977637002082,3.0,-1.0
Ba2NbFeO6,mp-1022733,164,-7.449307675666666,6.009965294734898,-2.934283436416665,430.52841638228966,1.6905999999999994,5.879020286345423,14.383391,3.0,-1.0
SrHfN2,mp-1029396,129,-8.4898154875,7.206595768897192,-1.6019118678566662,135.5434415259169,1.5456999999999996,4.043177,8.291497999999999,3.0,-1.0
HfMgN2,mp-1029834,62,-8.486792683125,7.258144528868066,-1.6211893643149988,211.22002383670426,1.7471000000000003,4.435986,7.432142999999999,3.0,-1.0
BaHfN2,mp-10322,129,-8.47880405375,7.810629874210693,-1.5335280399400002,146.19661171498072,1.2674,4.151013,8.484556,3.0,-1.0
CsCa2Ta3O10,mp-10347,123,-8.514296529375,6.281333987154585,-3.3307596725269395,242.12790249231256,2.2299,3.9506339999999995,15.513551999999999,3.0,-1.0
Ta2O5,mp-10390,15,-9.758501707857144,8.43324676377032,-3.3379470501785726,174.02080403482483,3.1007,5.5986184098462175,6.928421924935575,3.0,-1.0
Sr3CdPtO6,mp-10392,167,-5.763287098181817,6.820408600687142,-2.350902185227272,324.46810640410183,2.3624,6.871651324549728,6.8716518071546675,3.0,-1.0
KBaBiTeO6,mp-1040443,11,-5.639479960499999,6.409743372568519,-2.0858101775500004,315.54204900599683,1.5986000000000002,6.047574,8.586212116101487,3.0,-1.0
ZrPbO3,mp-1068577,221,-7.802568981999999,7.715050540923728,-2.80310016075,74.56174053380131,2.8455000000000004,4.208933,4.208933,3.0,-1.0
FeBiO3,mp-1069079,99,-6.2249854970000005,7.5640409481152755,-1.7521787777499995,137.34875639029536,1.6603000000000003,4.879828000000101,5.3053040924103465,3.0,-1.0
Hf2SN2,mp-1069533,71,-9.875039792,8.28358245589087,-2.016577403577,83.60413745398144,2.0914,6.345019012920371,6.345019012920371,3.0,-1.0
K5Na3Ta5Nb3O24,mp-1075953,1,-8.01149474275,5.854722265601164,-2.986876595125,519.5719957646543,1.6024999999999998,8.038554,8.039985004299322,3.0,-1.0
K5Na3Ta7NbO24,mp-1076413,8,-8.1596354515,6.453910714137898,-3.0471936743750008,516.6390705322422,1.9614,8.023536005797009,8.024365840288501,3.0,-1.0
K5Na3Ta8O24,mp-1076510,123,-8.23416339275,6.720705754614447,-3.077809800875,517.882929258226,2.1523000000000003,8.029725,8.030923,3.0,-1.0
RbTaO3,mp-1076534,221,-8.101738632,7.737080106628415,-2.98667701025,67.47978870917987,2.0617,4.071219999999999,4.071219999999999,3.0,-1.0
CdPb2(ClO)2,mp-1077904,12,-4.3207366785714285,6.4392478334625975,-1.5568485655742852,162.38972529078478,2.5527,6.608434004847517,7.841186214312028,2.0,1.0
MnPb2WO6,mp-1078353,225,-6.7935955535,8.990431199718005,-1.8948685793115168,276.7461106114451,1.6774000000000004,5.8068212523282465,10.05465673602744,3.0,-1.0
YSb(PbO3)2,mp-1078392,12,-6.644301574000001,8.101840134912177,-2.2948256434166674,147.78766497945406,2.6125,5.884980298015022,6.006297432689793,3.0,-1.0
