pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
Li48P16S61,mp-1001069,6,-4.3651353140800015,1.7430112429338835,-1.2443892879821428,2652.9519320879044,2.2955,12.488742,16.230346,3.0,-1.0
CCl4,mp-1004532,15,-3.4756479072500004,1.693441827675247,-0.6272109858579998,2413.343981522352,4.513,12.08710916096256,20.73555927963808,0.0,1.0
Zr63S128,mp-1024087,164,-7.062464681937173,3.4598853821183444,-1.915617338219896,4728.101047075041,0.0,14.720807319121786,25.19371286454802,2.0,1.0
Mg3WN4,mp-1030015,159,-7.0522427275,4.676264456985553,-0.8561358061899997,3998.4715381187016,1.9534,9.028662482466588,27.69780936,3.0,-1.0
Li2Ge(S2O7)3,mp-1080241,148,-5.944447645277778,2.4637312936237,-1.9965213908333328,2486.629475474413,3.7659,14.806342550030475,15.640210626379776,3.0,-1.0
Ba7Sn3S13,mp-1096868,62,-4.915899797826087,4.187075000065912,-1.8458832915489127,2751.145488201333,2.0817,9.036064,24.414728,3.0,-1.0
Zr64S127,mp-1096929,156,-7.101717112565446,3.2459449910993703,-1.928300602549084,5069.994585157945,0.10440000000000003,14.837767456971008,26.591320810051517,2.0,1.0
NaVZnO4,mp-1096979,173,-6.064856779226191,3.243686161237393,-2.2135762404166663,2498.272339860436,3.3769,8.28031891,18.665131519104843,3.0,-1.0
Li6Zn3(PS4)4,mp-1147591,3,-4.28593739387931,2.3229748652035087,-1.0978770716133004,2501.3666075165647,2.693,9.258801,23.214257851245666,3.0,-1.0
Li6Zn3(PS4)4,mp-1147592,1,-4.284978314741379,2.3241904801297606,-1.0969179924753698,2500.058324649854,2.5939,9.305738,23.159048632324648,3.0,-1.0
Li6Zn3(PS4)4,mp-1147593,1,-4.28501212224138,2.32538785011238,-1.0969517999753695,2498.77101475332,2.4946,9.271574000000001,23.19768539200519,3.0,-1.0
Li6Zn3(PS4)4,mp-1147594,1,-4.285105671551723,2.321677692716498,-1.0970453492857144,2502.7641761598684,2.585,9.294588000000001,23.16018143194221,3.0,-1.0
Li6Zn3(PS4)4,mp-1147596,1,-4.285172147931035,2.318102535206502,-1.0971118256650252,2506.624133173957,2.4515,9.334239,23.151096177786656,3.0,-1.0
Li6Zn3(PS4)4,mp-1147598,1,-4.2794822075,2.3227542977588227,-1.0914218852339899,2501.604135885957,2.6879000000000004,9.333983020216351,23.113740980371087,3.0,-1.0
Li6Zn3(PS4)4,mp-1147600,1,-4.285708025258621,2.322688597516092,-1.0976477029926115,2501.674896985452,2.6112,9.315684,23.12878666031805,3.0,-1.0
Li6Zn3(PS4)4,mp-1147603,1,-4.284641390344826,2.3194296345410383,-1.0965810680788175,2505.189927466861,2.6073000000000004,9.325252,23.16992629541676,3.0,-1.0
Li6Zn3(PS4)4,mp-1147604,1,-4.284701210689655,2.323533102294083,-1.0966408884236452,2500.765645293965,2.5179,9.308769999999999,23.159040763383487,3.0,-1.0
Li6Zn3(PS4)4,mp-1147609,1,-4.278778497844828,2.319985263309039,-1.0907181755788184,2504.5899427966906,2.497,9.31692266995342,23.182493601116107,3.0,-1.0
Li6Zn3(PS4)4,mp-1147610,1,-4.284770849396552,2.325788949300243,-1.096710527130542,2498.340083552543,2.6781,9.317734,23.12481444765914,3.0,-1.0
Li6Zn3(PS4)4,mp-1147611,1,-4.278714241896552,2.3164278106202163,-1.0906539196305425,2508.4363653726723,2.5348,9.335234101836502,23.147784188270712,3.0,-1.0
Li6Zn3(PS4)4,mp-1147613,1,-4.2849400911206885,2.328895058508824,-1.09687976885468,2495.007981012613,2.4574,9.308439,23.13710975898055,3.0,-1.0
Li6Zn3(PS4)4,mp-1147614,1,-4.284766049396551,2.317191934591673,-1.0967057271305416,2507.609176079873,2.6735999999999995,9.349765,23.10993743788609,3.0,-1.0
Li6Zn3(PS4)4,mp-1147616,1,-4.284907059310345,2.3208266724721183,-1.0968467370443356,2503.681910778349,2.4502000000000006,9.336103999999999,23.14102861599192,3.0,-1.0
Li6Zn3(PS4)4,mp-1147617,4,-4.284944130344829,2.3193719024101624,-1.0968838080788177,2505.2522848458607,2.6821,9.327779,23.153569498672557,3.0,-1.0
Li10Zn7(PS4)8,mp-1147630,4,-4.268644058245614,2.4068698789911838,-1.0695318377527157,2485.2764177666863,2.6682,9.208363,23.230961062010003,3.0,-1.0
Li10Zn7(PS4)8,mp-1147634,1,-4.267911774210527,2.4002028732743783,-1.0687995537176271,2492.179730928081,2.6445,11.638127,18.390803867177393,3.0,-1.0
Li4Zn(PS4)2,mp-1147728,7,-4.321742702083333,2.1599365669117545,-1.154680986448413,2531.723132869657,2.6651,10.065292,25.597615,3.0,-1.0
Li4Zn(PS4)2,mp-1147738,1,-4.31835629225,2.1677345406191395,-1.1512945766150793,2522.6157859807445,2.5848000000000004,9.53482,22.981722233370018,3.0,-1.0
Li4Zn(PS4)2,mp-1147741,1,-4.318513941916668,2.16561010337876,-1.1514522262817466,2525.0904414649176,2.6374000000000004,9.562149,22.95510433505259,3.0,-1.0
Na21ZnS10Cl3O40,mp-1173865,1,-5.363735013066666,2.2280883523246318,-2.2012615396137325,2407.506042960936,3.8486,14.342460947740431,15.009023205571134,3.0,-1.0
Ba5Y3I19,mp-1178584,2,-3.7003362640740733,4.130954763992121,-1.5540211835185185,2704.9175049211804,2.6251,11.825527000000001,16.66359945098117,3.0,-1.0
SrTeO3,mp-1179315,1,-5.901542546083332,4.619314360035913,-2.3875868281666666,2270.903792588304,3.2315000000000005,5.992505,26.80127975061172,3.0,-1.0
RhSCl5,mp-1179727,15,-3.3966641271428566,2.756336906850699,-0.9528708956321432,2257.253434182464,1.5419,13.906722178956661,27.499011848134842,0.0,1.0
