pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
Rb(Zr3Te4)4,mp-1006574,174,-6.265366924827586,6.221167995460168,-0.9603408381896548,1719.88648203975,0.0,11.188522621112497,15.864401,3.0,-1.0
Rb5GaO4,mp-1020613,61,-4.1398384175,4.028758269017673,-1.648495643499999,1850.0219120232998,1.8405,7.0707869999999975,21.620314999999998,3.0,-1.0
Na4Zn3Se5,mp-1024048,62,-3.11189959,4.0444129524989485,-0.9021164995876738,1121.6708840781364,1.2551,4.1343309999999995,19.685804,3.0,-1.0
RbNbN2,mp-1029493,61,-7.67970133609375,4.238396473864339,-0.9330054641587502,1293.752074641811,1.9199,6.113994,17.196114,3.0,-1.0
Ba(NbN2)2,mp-1029502,205,-8.823517753214285,5.298203151037148,-1.1190220874314267,1426.040189882296,2.2735000000000003,11.255823,11.255823,3.0,-1.0
Ba(MoN2)2,mp-1029505,205,-8.609209757857142,5.457855769669091,-0.6920460949314269,1406.47712582604,0.07019999999999982,11.204115,11.204115,3.0,-1.0
Ba(CrN2)2,mp-1029568,205,-8.348670200119049,4.646252112156236,-0.7722481257647609,1275.2333813451246,0.021700000000000053,10.844176,10.844176,3.0,-1.0
Ba(TaN2)2,mp-1029616,205,-9.503498408214286,7.639377161171676,-1.2971534310028563,1448.3069495959514,2.7589,11.314105,11.314105,3.0,-1.0
Na15Re7N19,mp-1029650,2,-6.715302158780488,4.818804445640091,-0.4243644731760974,1319.4035783540166,0.1817000000000002,6.144174,18.370831693801428,3.0,-1.0
Na15Cr7N19,mp-1029705,2,-6.340111370487803,2.75765792777125,-0.5257677825663405,1174.138967624965,0.6962999999999999,5.965875,17.872580547980952,3.0,-1.0
KMoN2,mp-1029815,61,-7.551691179375,3.670517110759736,-0.5864445913149998,1180.2313823601892,0.07430000000000002,5.851082,16.994689,3.0,-1.0
K15Cr7N19,mp-1029850,2,-6.272711333170731,2.7220300312564616,-0.5330945512248775,1484.3109454945081,0.8138000000000001,6.733051,18.590302259725984,3.0,-1.0
Na2GeN2,mp-1029851,61,-4.9432777163125,3.6652296384626055,-0.31182238359783343,2125.8343684582464,1.5017999999999994,11.257506,16.680707,3.0,-1.0
RbMoN2,mp-1029852,61,-7.52237774671875,4.368982575177885,-0.5895973772837495,1273.5306785611267,0.05069999999999997,6.14305,16.886623999999998,3.0,-1.0
Na15Mo7N19,mp-1029862,2,-6.5771312050000015,3.169824938747759,-0.559173740980976,1343.7529176931553,1.3511000000000002,6.2428870000000005,18.82284367386812,3.0,-1.0
K15Re7N19,mp-1029863,2,-6.672776366707318,4.398261893673761,-0.4565654870785366,1628.0097318096368,0.1907000000000001,6.8299179999999975,19.32573331012929,3.0,-1.0
