pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
Sc3Al3C2O5,mp-1005666,194,-7.949188764230769,3.5913663289011253,-2.571033106634616,295.7601143553907,0.4188000000000001,3.2764948319496856,31.811934,3.0,-1.0
Ba4GaN3O,mp-1019516,61,-5.3871353215277775,5.609792154392832,-1.0752396710711103,1603.2947736656336,1.1839,7.987433,25.011589999999998,3.0,-1.0
SiS,mp-1023900,53,-5.20089078125,0.6288316745264756,-0.7517388378125007,635.3512977903785,0.4874999999999998,3.9854300000000014,23.99833,1.0,1.0
WS2,mp-1023925,164,-7.894454168333334,3.8593008011159373,-1.2597521004166683,213.38780963937214,1.6969999999999998,3.190731161109002,24.202402,2.0,1.0
Te2MoWSe2,mp-1023927,156,-6.566540791666667,4.615540662390488,-0.3861750724479171,249.2855341136192,1.0386000000000002,3.434045936118211,24.409239000000003,2.0,1.0
MoWSe4,mp-1023928,156,-7.0374250883333325,4.379170905782481,-0.7395225198958334,225.8533179288113,1.2829000000000002,3.3228768403688997,23.619322,2.0,1.0
WSeS,mp-1023929,156,-7.536897121666668,4.636441761431047,-0.8945545168229169,211.21147512133626,0.8086000000000001,3.2547184588596907,23.022902,2.0,1.0
MoW(SeS)2,mp-1023930,156,-7.209056068333332,3.9397431506222063,-0.9187940368229164,211.5133621490713,0.5892,3.2574087980505304,23.017742000000002,2.0,1.0
TeWS,mp-1023931,156,-7.111911776666666,4.868999127645586,-0.5871060210416665,234.3000921210896,0.0,3.3596731058858977,23.968878,2.0,1.0
Te2MoWS2,mp-1023932,156,-6.859130499999999,4.2657691278924705,-0.6864053177083337,233.2159876364981,0.0,3.358265420918662,23.877981,2.0,1.0
MoS2,mp-1023939,164,-7.237950478333333,2.424142372982236,-1.3074095570833333,219.29610352354482,1.5539,3.1903153919636225,24.879004000000002,2.0,1.0
TeWSe,mp-1023943,156,-6.820523523333333,5.178042236733031,-0.2880772307812502,250.39365148541316,0.8321999999999998,3.4371045374128504,24.474129,2.0,1.0
TeMoSe,mp-1023948,156,-6.273582045,4.026683951625759,-0.4452968991145833,249.49217454411487,0.6357999999999999,3.438566425574036,24.365285,2.0,1.0
MoSeS,mp-1023953,156,-6.915167635,3.256776961693817,-0.9769861768229168,211.0512767445566,0.6802999999999999,3.25609029703938,22.986058,2.0,1.0
MoWS4,mp-1023954,156,-7.565229556666666,3.4403789618179133,-1.282608062083333,196.94526918553024,1.3369,3.1884099500473586,22.370032000000002,2.0,1.0
MoW(SeS)2,mp-1023955,156,-7.242974593333333,3.952641208209249,-0.952712561822916,210.8231625124937,1.0134,3.2534160822042115,22.998975,2.0,1.0
TeMoS,mp-1023959,156,-6.534571386666666,3.6369370449394585,-0.7139267777083328,233.40634323537395,0.0,3.360238458333724,23.86942,2.0,1.0
Zn2In2O5,mp-1094040,186,-5.081460067222221,6.0100244610581495,-1.83132873125,243.3887240100404,0.5975999999999999,3.4806797380754517,23.197526,3.0,-1.0
