,pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
28,Zr2Zn,mp-1018105,139,-6.295972253333333,6.643400169254138,-0.17759062999999978,61.95264788279107,0.0,6.135702894345684,6.135702894345684,2.0,1.0,-1
29,ZrTe2,mp-1018107,164,-5.825515786666667,5.981655114979786,-0.8807482900000009,96.16913288217592,0.0,3.984199641675101,6.995566,2.0,1.0,-1
30,PbS,mp-1018115,63,-4.41906752,7.175374538319918,-0.8262490515624998,110.74233899519258,1.2720000000000002,4.303227,6.480004719490642,2.0,1.0,-1
31,Ti2Rh,mp-1018124,139,-8.339892733333334,7.088660567074918,-0.6214620988888898,46.53187253060987,0.0,5.387758414419952,5.387758414419952,2.0,1.0,-1
32,Ti2Re,mp-1018125,164,-9.729218153333333,9.8674381020313,-0.3173810805555561,47.4463624838845,0.0,2.8396049999999997,4.3924533513863295,2.0,1.0,-1
33,VI2,mp-1018138,164,-4.53247448,4.8368827980523665,-0.4884973800000001,104.62316998611313,1.1073000000000004,4.112688618481224,7.142424,2.0,1.0,-1
34,NbTe2,mp-1018150,164,-5.88774414,6.803527397989204,-0.4251085066666664,84.96243338323984,0.0,3.6930324079076255,7.1933320000000025,2.0,1.0,-1
35,Hf2Hg,mp-1018154,139,-6.8582103466666675,14.046197038518438,-0.11885765833333295,65.91583222314105,0.0,6.261688056209363,6.261688056209363,2.0,1.0,-1
36,Ba2Zn,mp-1018178,139,-1.8421880566666669,4.272596092426538,-0.1429596333333336,132.16505477925773,0.0,8.115004408957152,8.115004408957152,2.0,1.0,-1
37,CaCoSi,mp-1018658,129,-5.378849623333332,3.7979712574730553,-0.5324390583333329,111.13776960158691,0.0,3.9492519999999995,7.125773,2.0,1.0,-1
38,HgSe,mp-1018722,154,-2.0721825516666668,7.782781726496693,-0.17238663033854176,178.93487664736983,1.0508000000000002,4.558765856318791,9.941908999999999,1.0,1.0,-1
